Time 	 TE 	 KE 	 PE 	 X momentum 	 Y momentum 	 Z momentum 	 Temperature
       0	 14269.5	 14810.5	    -541	-2830.35	-525.411	 1126.32	 41.1402
0.00138812	 14270.9	 14810.9	    -540	-2830.35	-525.411	 1126.32	 41.1414
0.00148743	 14271.6	 14811.6	    -540	-2830.35	-525.411	 1126.32	 41.1435
0.00150894	 14271.6	 14811.6	    -540	-2830.35	-525.411	 1126.32	 41.1435
0.00159448	 14271.6	 14811.6	    -540	-2830.35	-525.411	 1126.32	 41.1435
0.00182212	 14271.6	 14811.6	    -540	-2830.35	-525.411	 1126.32	 41.1435
0.00185727	 14270.6	 14810.6	    -540	-2830.35	-525.411	 1126.32	 41.1405
0.00193025	 14271.6	 14811.6	    -540	-2830.35	-525.411	 1126.32	 41.1435
0.00205339	 14270.6	 14810.6	    -540	-2830.35	-525.411	 1126.32	 41.1405
0.0020966	 14270.9	 14809.9	    -539	-2830.35	-525.411	 1126.32	 41.1387
0.00216298	 14283.4	 14822.4	    -539	-766.064	-193.888	 925.681	 41.1732
0.00218718	   14285	   14824	    -539	-766.064	-193.888	 925.681	 41.1778
0.00219461	 14268.8	 14807.8	    -539	-766.064	-193.888	 925.681	 41.1327
 0.00221	 14194.7	 14732.7	    -538	-766.064	-193.888	 925.681	 40.9242
0.00227163	   14124	   14661	    -537	-766.064	-193.888	 925.681	 40.7249
0.00230476	 14060.8	 14597.8	    -537	-766.064	-193.888	 925.681	 40.5493
0.0023563	 14064.1	 14601.1	    -537	-766.064	-193.888	 925.681	 40.5587
0.00236012	 14019.7	 14556.7	    -537	-766.064	-193.888	 925.681	 40.4352
0.00240379	 13984.3	 14521.3	    -537	-766.064	-193.888	 925.681	  40.337
0.00243683	 13926.8	 14463.8	    -537	-766.064	-193.888	 925.681	 40.1773
0.00244492	 13922.7	 14459.7	    -537	-695.815	 -154.75	 617.314	 40.1659
0.00264627	 13905.3	 14442.3	    -537	-695.815	 -154.75	 617.314	 40.1175
0.00265489	   13823	   14359	    -536	-695.815	 -154.75	 617.314	 39.8861
0.00270917	 13851.3	 14387.3	    -536	-695.815	 -154.75	 617.314	 39.9648
0.00271398	 13850.4	 14386.4	    -536	-695.815	 -154.75	 617.314	 39.9623
0.00292005	 13871.4	 14407.4	    -536	-695.815	 -154.75	 617.314	 40.0204
0.00298194	 13819.2	 14355.2	    -536	-695.815	 -154.75	 617.314	 39.8757
0.00299153	 13821.5	 14357.5	    -536	-695.815	 -154.75	 617.314	  39.882
0.0030068	 13837.8	 14373.8	    -536	-695.815	 -154.75	 617.314	 39.9271
0.0030683	 13790.7	 14326.7	    -536	-695.815	 -154.75	 617.314	 39.7965
0.00309166	   13787	   14323	    -536	-279.349	-311.282	 593.123	  39.786
0.00313038	 13772.6	 14307.6	    -535	-279.349	-311.282	 593.123	 39.7434
0.00318583	 13744.7	 14278.7	    -534	-279.349	-311.282	 593.123	 39.6632
0.00322627	 13770.1	 14304.1	    -534	-279.349	-311.282	 593.123	 39.7335
0.00325428	 13717.3	 14251.3	    -534	-279.349	-311.282	 593.123	 39.5868
0.00327397	 13716.8	 14250.8	    -534	-279.349	-311.282	 593.123	 39.5856
0.003307	 13706.5	 14240.5	    -534	-279.349	-311.282	 593.123	  39.557
0.00334127	 13615.1	 14149.1	    -534	-279.349	-311.282	 593.123	 39.3031
0.0033417	   13658	   14192	    -534	-279.349	-311.282	 593.123	 39.4223
0.00334462	 13657.7	 14191.7	    -534	-279.349	-311.282	 593.123	 39.4214
0.0033662	 13665.5	 14199.5	    -534	-254.418	-134.806	 651.862	 39.4431
0.00340561	 13678.5	 14212.5	    -534	-254.418	-134.806	 651.862	 39.4791
0.00345787	 13688.7	 14222.7	    -534	-254.418	-134.806	 651.862	 39.5076
0.00352522	 13698.7	 14232.7	    -534	-254.418	-134.806	 651.862	 39.5352
0.00357871	 13601.5	 14135.5	    -534	-254.418	-134.806	 651.862	 39.2653
0.00359941	 13565.8	 14099.8	    -534	-254.418	-134.806	 651.862	  39.166
0.00368828	 13550.6	 14083.6	    -533	-254.418	-134.806	 651.862	 39.1212
0.00377363	 13536.9	 14069.9	    -533	-254.418	-134.806	 651.862	 39.0831
0.00380213	 13429.9	 13961.9	    -532	-254.418	-134.806	 651.862	  38.783
0.0038382	 13419.1	 13951.1	    -532	-254.418	-134.806	 651.862	 38.7531
0.00385479	 13449.1	 13981.1	    -532	 -134.35	 15.4486	 726.365	 38.8364
0.00389382	 13456.8	 13988.8	    -532	 -134.35	 15.4486	 726.365	 38.8577
0.00391714	 13418.6	 13950.6	    -532	 -134.35	 15.4486	 726.365	 38.7518
0.00392109	 13351.5	 13883.5	    -532	 -134.35	 15.4486	 726.365	 38.5652
0.00393501	 13333.3	 13865.3	    -532	 -134.35	 15.4486	 726.365	 38.5149
0.00396579	 13282.6	 13814.6	    -532	 -134.35	 15.4486	 726.365	  38.374
0.00398432	 13296.5	 13828.5	    -532	 -134.35	 15.4486	 726.365	 38.4124
0.00404361	 13248.6	 13780.6	    -532	 -134.35	 15.4486	 726.365	 38.2796
0.00408407	 13232.5	 13763.5	    -531	 -134.35	 15.4486	 726.365	 38.2318
0.00417834	 13196.9	 13727.9	    -531	 -134.35	 15.4486	 726.365	 38.1331
0.00424657	 13190.3	 13720.3	    -530	-247.553	 169.931	 663.615	  38.112
0.0042869	   13122	   13652	    -530	-247.553	 169.931	 663.615	 37.9224
0.00429247	 13118.3	 13648.3	    -530	-247.553	 169.931	 663.615	 37.9118
0.00444871	 13086.3	 13616.3	    -530	-247.553	 169.931	 663.615	  37.823
0.00445182	 12996.5	 13526.5	    -530	-247.553	 169.931	 663.615	 37.5736
0.00445945	   12997	   13527	    -530	-247.553	 169.931	 663.615	 37.5749
0.0044934	 13021.1	 13551.1	    -530	-247.553	 169.931	 663.615	 37.6419
0.00455953	 13001.2	 13531.2	    -530	-247.553	 169.931	 663.615	 37.5866
0.00461759	 12969.3	 13499.3	    -530	-247.553	 169.931	 663.615	  37.498
0.00463179	 12967.3	 13497.3	    -530	-247.553	 169.931	 663.615	 37.4925
0.00472635	 12935.9	 13465.9	    -530	-428.805	 251.055	 434.295	 37.4053
0.00476842	 12934.6	 13464.6	    -530	-428.805	 251.055	 434.295	 37.4017
0.00478227	 12827.2	 13357.2	    -530	-428.805	 251.055	 434.295	 37.1033
0.00481335	 12825.3	 13355.3	    -530	-428.805	 251.055	 434.295	 37.0981
0.00483159	 12840.6	 13370.6	    -530	-428.805	 251.055	 434.295	 37.1406
0.00510003	 12854.2	 13384.2	    -530	-428.805	 251.055	 434.295	 37.1784
0.00511371	 12852.1	 13382.1	    -530	-428.805	 251.055	 434.295	 37.1726
0.00515363	 12858.9	 13388.9	    -530	-428.805	 251.055	 434.295	 37.1914
0.0053201	 12868.7	 13398.7	    -530	-428.805	 251.055	 434.295	 37.2186
0.00532713	 12819.1	 13349.1	    -530	-428.805	 251.055	 434.295	 37.0808
0.00538109	 12835.4	 13365.4	    -530	-368.444	-135.666	 306.962	  37.126
0.00543805	 12870.4	 13400.4	    -530	-368.444	-135.666	 306.962	 37.2234
0.00545129	 12873.7	 13402.7	    -529	-368.444	-135.666	 306.962	 37.2296
0.00545506	 12880.7	 13409.7	    -529	-368.444	-135.666	 306.962	  37.249
0.00556763	 12770.7	 13299.7	    -529	-368.444	-135.666	 306.962	 36.9436
0.00556773	 12704.6	 13233.6	    -529	-368.444	-135.666	 306.962	 36.7599
0.00562081	 12711.3	 13240.3	    -529	-368.444	-135.666	 306.962	 36.7785
0.0056218	 12575.9	 13104.9	    -529	-368.444	-135.666	 306.962	 36.4024
0.0056848	 12512.7	 13041.7	    -529	-368.444	-135.666	 306.962	 36.2269
0.00572441	 12527.5	 13056.5	    -529	-368.444	-135.666	 306.962	  36.268
0.00579269	 12539.7	 13068.7	    -529	-456.999	-248.054	 631.982	 36.3019
0.00580157	 12520.8	 13048.8	    -528	-456.999	-248.054	 631.982	 36.2467
0.00591777	 12513.6	 13041.6	    -528	-456.999	-248.054	 631.982	 36.2267
0.00592396	 12516.8	 13044.8	    -528	-456.999	-248.054	 631.982	 36.2356
0.00594955	 12523.1	 13051.1	    -528	-456.999	-248.054	 631.982	 36.2531
0.00597078	 12525.7	 13053.7	    -528	-456.999	-248.054	 631.982	 36.2603
0.0060061	 12480.1	 13007.1	    -527	-456.999	-248.054	 631.982	 36.1309
0.0060662	   12472	   12999	    -527	-456.999	-248.054	 631.982	 36.1084
0.0060853	 12476.4	 13003.4	    -527	-456.999	-248.054	 631.982	 36.1204
0.00620901	 12494.1	 13021.1	    -527	-456.999	-248.054	 631.982	 36.1698
0.00621375	 12513.3	 13040.3	    -527	  -517.9	-405.941	 491.506	  36.223
0.00623627	 12516.9	 13043.9	    -527	  -517.9	-405.941	 491.506	 36.2329
0.00626597	 12485.2	 13012.2	    -527	  -517.9	-405.941	 491.506	 36.1449
0.00627417	   12482	   13009	    -527	  -517.9	-405.941	 491.506	 36.1361
0.00638176	 12477.1	 13004.1	    -527	  -517.9	-405.941	 491.506	 36.1224
0.00647521	 12460.9	 12987.9	    -527	  -517.9	-405.941	 491.506	 36.0774
0.00650565	 12459.5	 12986.5	    -527	  -517.9	-405.941	 491.506	 36.0735
0.00652128	 12453.1	 12980.1	    -527	  -517.9	-405.941	 491.506	 36.0559
0.00658994	 12409.8	 12936.8	    -527	  -517.9	-405.941	 491.506	 35.9355
0.00660852	 12437.1	 12964.1	    -527	  -517.9	-405.941	 491.506	 36.0114
0.00662126	 12428.8	 12955.8	    -527	-663.865	 -512.25	 458.321	 35.9884
0.00663933	   12427	   12954	    -527	-663.865	 -512.25	 458.321	 35.9834
0.0067231	 12427.9	 12954.9	    -527	-663.865	 -512.25	 458.321	 35.9858
0.00682739	 12369.5	 12896.5	    -527	-663.865	 -512.25	 458.321	 35.8237
0.00695088	   12377	   12904	    -527	-663.865	 -512.25	 458.321	 35.8445
0.00695422	   12348	   12875	    -527	-663.865	 -512.25	 458.321	 35.7638
0.00697252	 12342.2	 12869.2	    -527	-663.865	 -512.25	 458.321	 35.7478
0.00697831	 12274.6	 12801.6	    -527	-663.865	 -512.25	 458.321	 35.5599
0.00700898	 12254.7	 12781.7	    -527	-663.865	 -512.25	 458.321	 35.5048
0.00700988	 12259.7	 12786.7	    -527	-663.865	 -512.25	 458.321	 35.5186
0.00701456	 12282.8	 12809.8	    -527	-746.846	-318.228	 291.957	 35.5827
0.00706358	 12264.1	 12791.1	    -527	-746.846	-318.228	 291.957	 35.5308
0.00708004	   12266	   12793	    -527	-746.846	-318.228	 291.957	  35.536
0.00708314	   12237	   12763	    -526	-746.846	-318.228	 291.957	 35.4527
0.00709394	 12237.3	 12763.3	    -526	-746.846	-318.228	 291.957	 35.4537
0.00709624	   12234	   12760	    -526	-746.846	-318.228	 291.957	 35.4445
0.00716096	 12234.3	 12760.3	    -526	-746.846	-318.228	 291.957	 35.4453
0.00733688	 12229.4	 12755.4	    -526	-746.846	-318.228	 291.957	 35.4316
0.00736001	 12226.8	 12752.8	    -526	-746.846	-318.228	 291.957	 35.4244
